apple steve_jobs microsoft bill_gates 5 Common Definite Intra-Domain
joke laughter sad tears 4 Common Definite Intra-domain
joke laughter fever weakness 3.6 Common Indefinite Cross-domain
joke laughter shower clean 3.4 Common Indefinite Cross-domain
joke laughter exercise hunger 3 Common Indefinite Cross-domain
joke laughter joy shiver 2 Common Indefinite Cross-domain
pinch pain hug comfort 5 Common Definite Intra-domain
pinch pain cold frostbite 5 Common Indefinite Intra-domain
pinch pain heat scald 4 Common Indefinite Intra-domain
pinch pain scold cry 3.4 Common Indefinite Intra-domain
pinch pain fear scream 3 Common Indefinite Cross-domain
pinch pain run laugh 1.4 Common Indefinite Cross-domain
pinch pain anger dance 1.2 Common Indefinite Cross-domain
kitchen utensils library books 5 Common Definite Intra-domain
kitchen utensils garage cars 4 Common Indefinite Cross-domain
kitchen utensils washroom tissues 4 Common Indefinite Cross-domain
kitchen utensils office files 3.8 Common Indefinite Cross-domain
kitchen utensils gallery flowers 2 Common Indefinite Cross-domain
kitchen utensils shop body 2 Common Indefinite Cross-domain
school teacher university professor 5 Common Definite Intra-domain
school teacher farm farmer 4.8 Common Definite Cross-domain
school teacher laboratory scientist 4.8 Common Definite Intra-domain
school teacher office employee 4.2 Common Definite Intra-domain
school teacher jungle hunter 3.4 Common Indefinite Intra-domain
school teacher farm doctor 1.2 Common Indefinite Intra-domain
bodega wine hangar planes 5 Common Definite Cross-domain
bodega wine apothecary medicine 4.8 Uncommon Definite Cross-domain
bodega wine columbarium urn 3.8 Uncommon Definite Intra-domain
bodega wine botique military 2.8 Uncommon Definite Cross-domain
bodega wine closet fish 2.6 Common Definite Intra-domain
bodega wine arsenal honey 1.6 Common Indefinite Cross-domain
Indefiniteia delhi austria vienna 5 Common Definite Intra-domain
Indefiniteia delhi bangladesh dhaka 5 Common Definite Intra-domain
Indefiniteia delhi france paris 5 Common Definite Intra-domain
Indefiniteia delhi pakistan karachi 4.8 Common Definite Intra-domain
Indefiniteia delhi germany munich 4 Common Indefinite Intra-domain
Indefiniteia delhi italy zulu 2.2 Common Definite Intra-domain
armenia yerevan azerbaijan baku 5 Uncommon Definite Intra-domain
armenia yerevan montenegro podgorica 4.8 Uncommon Definite Intra-domain
armenia yerevan croatia maasai 1.25 Uncommon Indefinite Intra-domain
armenia yerevan micronesia palikir 4.2 Uncommon Definite Intra-domain
armenia yerevan uzbekistan yemen 1.4 Uncommon Definite Cross-domain
armenia yerevan andorra russia 1 Uncommon Definite Cross-domain
latvia lats kazakhstan tenge 4.8 Uncommon Definite Intra-domain
latvia lats korea won 4.8 Uncommon Definite Intra-domain
latvia lats israel shekel 4.2 Uncommon Definite Intra-domain
latvia lats russia yuan 3.2 Uncommon Definite Intra-domain
latvia lats nepal dollar 1.8 Uncommon Indefinite Intra-domain
latvia lats laos trinadad 1 Uncommon Indefinite Cross-domain
england english bulgaria bulgarian 5 Common Definite Intra-domain
england english cuba spanish 4.75 Common Indefinite Intra-domain
england english japan japanese 5 Common Definite Intra-domain
england english bahamas english 3.4 Common Definite Intra-domain
england english Indefiniteia english 2.6 Common Definite Intra-domain
england english china hIndefinitei 1.2 Uncommon Definite Intra-domain
fiji fijian finland finnish 5 Uncommon Definite Intra-domain
fiji fijian guinea susu 4.4 Uncommon Definite Intra-domain
fiji fijian madagascar french 3 Uncommon Indefinite Intra-domain
fiji fijian nigeria english 2.8 Uncommon Definite Intra-domain
fiji fijian brazil japanese 1 Uncommon Definite Intra-domain
nicaragua spanish kenya swahili 5 Uncommon Definite Intra-domain
nicaragua spanish suriname dutch 4.8 Uncommon Definite Intra-domain
nicaragua spanish kyrgyztan kirghiz 4.5 Uncommon Indefinite Intra-domain
nicaragua spanish cambodia khmer 4 Uncommon Definite Intra-domain
nicaragua spanish albania hIndefinitei 2.6 Uncommon Definite Intra-domain
nicaragua spanish aruba ruble 1.2 Uncommon Indefinite Cross-domain
morocco berber nigeria hausa 5 Uncommon Definite Intra-domain
morocco berber nauru nauruan 4.4 Uncommon Definite Intra-domain
morocco berber senegal pulaar 4.2 Uncommon Definite Intra-domain
morocco berber zimbabwe shona 3 Uncommon Definite Intra-domain
morocco berber barbados nepali 2.2 Uncommon Definite Intra-domain
morocco berber argentina marathi 1 Uncommon Indefinite Intra-domain
angry angrily happy happily 5 Common Definite Intra-domain
angry angrily mad madly 5 Common Definite Intra-domain
angry angrily sad sadly 4.8 Common Definite Intra-domain
angry angryily fearful fearfully 4.5 Common Definite Intra-domain
angry angrily joy joyfully 4.5 Common Definite Intra-domain
angry angrily door silly 1.2 Common Indefinite Cross-domain
adroit adroitly jejune jejunely 5 Uncommon Definite Intra-domain
adroit adroitly boorish boorishly 4.8 Common Definite Intra-domain
adroit adroitly dowdy dowdily 4.1 Common Definite Intra-domain
adroit adroitly hubristic hubristically 3 Uncommon Definite Intra-domain
adroit adroitly joy jointly 2 Common Indefinite Cross-domain
adroit adroitly fearful freely 1.2 Common Definite Cross-domain
easy easier good better 5 Common Indefinite Intra-domain
easy easier big bigger 5 Common Definite Intra-domain
easy easier long longer 4.8 Common Definite Intra-domain
easy easier bad worse 4 Common Definite Intra-domain
easy easier wIndefiniteow widower 1.8 Common Definite Cross-domain
easy easier waste water 1 Common Indefinite Cross-domain
wise wiser lazy lazier 5 Common Definite Intra-domain
wise wiser thin thinner 5 Common Definite Intra-domain
wise wiser tall taller 5 Common Definite Intra-domain
wise wiser many more 3.6 Common Definite Intra-domain
wise wiser fast quicker 3.2 Common Definite Intra-domain
wise wiser merry marry 1 Common Definite Intra-domain
north up south down 5 Common Definite Intra-domain
north up west left 5 Common Definite Intra-domain
north up east right 5 Common Definite Intra-domain
north up western right 3.2 Common Definite Intra-domain
north up north southern 1.2 Common Definite Intra-domain
gauck germany hollande france 5 Uncommon Definite Intra-domain
gauck germany mattarella italy 5 Uncommon Definite Intra-domain
gauck germany putin russia 4.5 Uncommon Definite Intra-domain
gauck germany fischer austria 4 Uncommon Definite Intra-domain
gauck germany mukherjee Indefiniteia 4 Uncommon Definite Intra-domain
gauck germany merkel germany 3 Uncommon Definite Intra-domain
gauck germany robert canada 1 Uncommon Definite Intra-domain
Indefiniteia modi bangladesh hasina 5 Uncommon Definite Intra-domain
Indefiniteia modi bhutan tobgay 5 Uncommon Definite Intra-domain
Indefiniteia modi china keqiang 5 Uncommon Definite Intra-domain
Indefiniteia modi nepal oli 5 Uncommon Definite Intra-domain
Indefiniteia modi singapore loong 4.8 Uncommon Definite Intra-domain
Indefiniteia modi japan abe 4 Uncommon Definite Intra-domain
Indefiniteia modi maldives merkel 1.6 Uncommon Indefinite Intra-domain
spiderman raimi avengers whedon 5 Uncommon Definite Intra-domain
spiderman raimi aquaman wan 5 Uncommon Definite Intra-domain
spiderman raimi hulk lee 4.8 Uncommon Definite Intra-domain
spiderman raimi thor branagh 4.2 Uncommon Definite Intra-domain
spiderman raimi batman martinson 4 Uncommon Definite Intra-domain
spiderman raimi zorro cameron 3.4 Uncommon Definite Intra-domain
spiderman raimi superman warner 3 Uncommon Definite Intra-domain
spiderman raimi supergirl marvel 1.8 Uncommon Definite Cross-domain
cIndefiniteerella jackson tangled howard 5 Uncommon Definite Intra-domain
cIndefiniteerella jackson aladdin clements 4.6 Uncommon Definite Intra-domain
cIndefiniteerella jackson enchanted lima 4.2 Uncommon Definite Intra-domain
cIndefiniteerella jackson tarzan yates 4 Uncommon Definite Intra-domain
cIndefiniteerella jackson frozen lee 3.4 Uncommon Definite Intra-domain
cIndefiniteerella jackson dumbo smith 3 Uncommon Definite Intra-domain
cIndefiniteerella jackson bambi pearce 1 Uncommon Definite Intra-domain
paris eiffel giza pyramid 5 Common Definite Intra-domain
paris eiffel alexandria lighthouse 5 Common Definite Intra-domain
paris eiffel rome colosseum 4.8 Common Definite Intra-domain
paris eiffel rhodes colossus 4.8 Common Definite Intra-domain
paris eiffel wiltshire stonehenge 4.6 Common Definite Intra-domain
paris eiffel agra taj 3.2 Common Definite Intra-domain
paris eiffel pisa tower 2.8 Common Definite Intra-domain
paris eiffel egypt stone 1 Common Definite Intra-domain
victoria africa taal philippines 4.2 Uncommon Definite Intra-domain
victoria africa baikal russia 4 Uncommon Definite Intra-domain
victoria africa nasser egypt 2 Common Indefinite Cross-domain
victoria africa caspian russia 3.8 Uncommon Definite Intra-domain
victoria africa malawi tanzania 3.6 Uncommon Definite Intra-domain
victoria africa thames ireland 2.8 Uncommon Definite Intra-domain
victoria africa blue Indefiniteia 1 Uncommon Definite Intra-domain
puka philippines fakistra greece 5 Uncommon Definite Intra-domain
puka philippines sunj croatia 5 Uncommon Definite Intra-domain
puka philippines ipanema brazil 4.8 Uncommon Definite Intra-domain
puka philippines blinky australia 4.5 Uncommon Indefinite Intra-domain
puka philippines baga goa 4 Uncommon Definite Intra-domain
puka philippines greenfield australia 3.8 Uncommon Definite Intra-domain
puka philippines black spain 2.1 Uncommon Indefinite Intra-domain
microsoft gates infosys murthy 5 Uncommon Definite Intra-domain
microsoft gates facebook zuckerberg 5 Uncommon Definite Intra-domain
microsoft gates ibm flint 4.7 Uncommon Definite Intra-domain
microsoft gates dell michael 4.5 Uncommon Definite Intra-domain
microsoft gates yahoo mayer 4 Uncommon Definite Intra-domain
microsoft gates wipro premji 3.8 Uncommon Definite Intra-domain
microsoft gates google page 2 Uncommon Indefinite Intra-domain
microsoft gates lenovo craig 1.8 Uncommon Indefinite Cross-domain
physicist einstein mathematician aryabhata 5 Uncommon Definite Intra-domain
physicist einstein surgeon lister 5 Uncommon Definite Intra-domain
physicist einstein chemist curie 4.8 Common Definite Intra-domain
physicist einstein actor dicaprio 4.5 Common Indefinite Cross-domain
physicist einstein physician blackwell 4.6 Uncommon Indefinite Intra-domain
physicist einstein zoologist hanna 4.4 Common Definite Intra-domain
physicist einstein biologist darwin 4.2 Common Definite Intra-domain
physicist einstein geologist bascom 4 Uncommon Definite Intra-domain
physicist einstein psychologist leon 4 Uncommon Definite Cross-domain
physicist einstein history newton 1.9 Common Indefinite Intra-domain
tyro inexperienced vernacular regional 5 Uncommon Definite Intra-domain
tyro inexperienced bigot prejudiced 4.6 Uncommon Indefinite Intra-domain
tyro inexperienced citadel fortified 4 Uncommon Definite Cross-domain
tyro inexperienced bishop ordained 3.2 Uncommon Indefinite Cross-domain
tyro inexperienced rivulet small 2.4 Uncommon Indefinite Cross-domain
tyro inexperienced vitriol sweet 1.8 Uncommon Indefinite Cross-domain
tyro inexperienced liar loved 1 Uncommon Indefinite Cross-domain
angiosperms maple gymnosperms pine 5 Uncommon Definite Intra-domain
angiosperms maple bryophytes mosses 5 Uncommon Definite Intra-domain
angiosperms maple thallophyta algae 5 Uncommon Definite Intra-domain
angiosperms maple pteridophytes ferns 4.6 Uncommon Indefinite Intra-domain
angiosperms maple monocot dicot 2.4 Uncommon Indefinite Intra-domain
tennis racket cricket bat 5 Common Definite Intra-domain
tennis racket hockey stick 5 Common Definite Intra-domain
tennis racket golf club 4.8 Common Definite Intra-domain
tennis racket badminton bat 3.6 Common Definite Intra-domain
tennis racket football racket 1 Common Indefinite Intra-domain
zippo lighter michelin tyre 5 Common Definite Intra-domain
zippo lighter maclaren stroller 4.6 Uncommon Indefinite Cross-domain
zippo lighter crocs clogs 4 Common Indefinite Cross-domain
zippo lighter flexi leash 4 Uncommon Definite Cross-domain
zippo lighter titan watch 3.2 Common Definite Intra-domain
zippo lighter lenovo door 1 Uncommon Definite Cross-domain
tailor cloth goldsmith gold 5 Common Definite Cross-domain
tailor cloth carpenter wood 5 Common Definite Intra-domain
tailor cloth bladesmith iron 4.6 Common Definite Intra-domain
tailor cloth blacksmith steel 4 Common Definite Intra-domain
tailor cloth brownsmith copper 4 Common Indefinite Cross-domain
tailor cloth cobbler lace 3.4 Common Indefinite Cross-domain
tailor cloth painter stone 2 Common Indefinite Intra-domain
tailor cloth plumber needle 1.7 Common Indefinite Cross-domain
carpenter saw talior needle 5 Common Indefinite Cross-domain
carpenter saw gardener shear 5 Common Definite Intra-domain
carpenter saw plumber wrench 4.5 Common Indefinite Intra-domain
carpenter saw electrician plier 4.4 Common Indefinite Intra-domain
carpenter saw cobbler chisel 3.8 Common Indefinite Intra-domain
carpenter saw potter silk 1 Common Indefinite Intra-domain
elephant ivory fox fur 5 Common Definite Intra-domain
elephant ivory sheep wool 5 Common Definite Intra-domain
elephant ivory snake skin 4.2 Common Definite Intra-domain
elephant ivory cow milk 3.8 Common Definite Intra-domain
elephant ivory cow manure 2.7 Common Indefinite Intra-domain
elephant ivory duck milk 2 Common Indefinite Intra-domain
elephant ivory goat egg 1.2 Common Indefinite Intra-domain
hair comb teeth toothbrush 5 Common Definite Intra-domain
hair comb nail filer 4.6 Common Definite Intra-domain
hair comb eyelash brush 4.5 Common Indefinite Intra-domain
hair comb eye liner 3.95 Common Indefinite Intra-domain
hair comb lip pencil 3 Common Indefinite Intra-domain
hair comb nose comb 1.8 Uncommon Indefinite Cross-domain
hair comb hand lipstick 1 Common Indefinite Cross-domain
drawer handle door knob 5 Common Definite Intra-domain
drawer handle gate bolt 4.4 Common Indefinite Intra-domain
drawer handle wIndefiniteow pull 4.2 Common Indefinite Intra-domain
drawer handle suitcase zip 4 Common Indefinite Intra-domain
drawer handle door handle 3 Common Indefinite Intra-domain
drawer handle cupboard hinge 2 Common Indefinite Intra-domain
day week week month 5 Common Definite Intra-domain
day week minute hour 5 Common Definite Intra-domain
day week month year 4.8 Common Definite Intra-domain
day week second minute 4.6 Common Definite Intra-domain
day week second hour 3.8 Common Definite Intra-domain
day week weekend week 1.8 Common Indefinite Intra-domain
needle sew scissor cut 5 Common Definite Intra-domain
needle sew brush paint 5 Common Definite Intra-domain
needle sew stapler staple 5 Common Definite Intra-domain
needle sew eraser erase 4.8 Common Definite Intra-domain
needle sew glue paste 4.8 Common Definite Intra-domain
needle sew thread join 2.6 Common Definite Intra-domain
needle sew pencil sharp 1.5 Common Indefinite Cross-domain
shard glass splinter wood 5 Uncommon Indefinite Intra-domain
shard glass potsherd pottery 5 Uncommon Indefinite Intra-domain
shard glass chads paper 4.8 Uncommon Definite Cross-domain
shard glass sediment rock 4.6 Uncommon Definite Intra-domain
shard glass rag cloth 4 Uncommon Definite Intra-domain
shard glass pyroclastic lava 3.2 Uncommon Indefinite Cross-domain
shard glass piece stone 2 Common Definite Cross-domain
silk smooth cotton soft 4.8 Common Definite Intra-domain
silk smooth polyester satiny 4 Common Indefinite Intra-domain
silk smooth jute itchy 3.8 Common Definite Intra-domain
silk smooth nylon soft 3.6 Common Definite Intra-domain
silk smooth wool spongy 3.4 Common Indefinite Intra-domain
silk smooth denim greasy 2 Common Indefinite Intra-domain
silk smooth viscose harsh 1 Common Indefinite Intra-domain
painter painting sculptor sculpture 5 Common Definite Intra-domain
painter painting poet poem 5 Common Definite Intra-domain
painter painting composer music 4.8 Common Definite Intra-domain
painter painting programmer software 4.6 Common Definite Intra-domain
painter painting tailor clothes 4.2 Common Indefinite Cross-domain
painter painting farmer grains 3 Common Indefinite Intra-domain
painter painting farmer photograph 1.3 Common Indefinite Cross-domain
painter painting pilot song 1 Common Definite Cross-domain
square cube circle sphere 5 Common Definite Intra-domain
square cube triangle pyramid 4.8 Common Definite Intra-domain
square cube rectangle cuboid 4 Common Definite Intra-domain
square cube pentagon polygon 2 Common Definite Intra-domain
square cube oval hexagon 1 Common Definite Intra-domain
paper wood glass sand 5 Common Definite Intra-domain
paper wood diamond carbon 5 Common Definite Cross-domain
paper wood graphite carbon 4.6 Common Definite Intra-domain
paper wood marble limestone 4 Common Definite Intra-domain
paper wood plastic polymer 3.8 Common Indefinite Intra-domain
paper wood wood tree 2 Common Indefinite Intra-domain
paper wood jute fruit 1 Common Indefinite Intra-domain
saturn titan neptune triton 5 Uncommon Definite Intra-domain
saturn titan mars phobos 4.8 Uncommon Definite Intra-domain
saturn titan jupiter europa 4.2 Uncommon Definite Intra-domain
saturn titan uranus neso 4 Common Definite Intra-domain
saturn titan earth luna 4 Uncommon Definite Intra-domain
saturn titan pluto charon 3.2 Uncommon Indefinite Intra-domain
saturn titan mercury sun 2 Common Definite Intra-domain
camera photograph calculator computation 5 Common Definite Cross-domain
camera photograph torch light 5 Common Definite Cross-domain
camera photograph phone call 4.4 Common Definite Intra-domain
camera photograph keyboard type 4 Common Definite Intra-domain
camera photograph heater heat 3.8 Common Definite Cross-domain
camera photograph fan air 3.2 Common Indefinite Intra-domain
camera photograph dryer wIndefinite 2.5 Common Indefinite Cross-domain
camera photograph bottle eat 1.2 Common Indefinite Cross-domain
row boat pedal bicycle 5 Common Definite Intra-domain
row boat accelerate car 4.6 Common Indefinite Intra-domain
row boat accelerate train 4 Common Definite Intra-domain
row boat thrust airplane 3.8 Common Definite Intra-domain
row boat push rocket 1.2 Common Definite Intra-domain
whale ocean lion jungle 5 Common Definite Intra-domain
whale ocean monkey tree 4.8 Common Definite Intra-domain
whale ocean crow nest 4.8 Common Definite Intra-domain
whale ocean frog lake 4.6 Common Definite Intra-domain
whale ocean camel desert 4.6 Common Definite Intra-domain
whale ocean cow farm 4.2 Common Indefinite Intra-domain
whale ocean pig sea 1.4 Common Indefinite Intra-domain
pentagon five triangle three 5 Common Definite Intra-domain
pentagon five quadrilateral four 5 Common Definite Intra-domain
pentagon five hexagon six 4.9 Common Definite Intra-domain
pentagon five cube eight 3 Common Indefinite Intra-domain
pentagon five polygon seven 2 Common Indefinite Intra-domain
chair wood omlette egg 5 Common Indefinite Cross-domain
chair wood bottle plastic 4.8 Common Indefinite Cross-domain
chair wood shirt cotton 4.2 Common Indefinite Intra-domain
chair wood necklace gold 4 Common Indefinite Intra-domain
chair wood floor marble 4 Common Indefinite Cross-domain
chair wood door glass 3.4 Common Indefinite Cross-domain
chair wood table stone 2.4 Common Indefinite Intra-domain
chair wood fruit charcoal 1.8 Common Indefinite Cross-domain
car road boat lake 5 Common Definite Intra-domain
car road train track 5 Common Definite Intra-domain
car road airplane sky 4.8 Common Definite Intra-domain
car road rocket space 4.8 Common Definite Intra-domain
car road cycle water 1.6 Common Indefinite Cross-domain
car road scooter galaxy 1.2 Common Indefinite Cross-domain
city state state country 5 Common Definite Intra-domain
city state lane city 4.8 Common Indefinite Intra-domain
city state country continent 4.2 Common Definite Intra-domain
city state road country 2.2 Common Indefinite Cross-domain
city state street galaxy 1.8 Common Indefinite Cross-domain
corn husk pea pod 5 Uncommon Definite Intra-domain
corn husk pineapple rIndefinite 5 Uncommon Definite Intra-domain
corn husk egg shell 4 Common Definite Intra-domain
corn husk banana peel 3.93 Common Definite Intra-domain
corn husk cauliflower leaf 3.8 Common Definite Intra-domain
corn husk carrot cover 2.6 Common Indefinite Intra-domain
corn husk apple wax 1.8 Common Definite Intra-domain
letter word chapter book 5 Common Definite Intra-domain
letter word sentence paragraph 4.8 Common Definite Intra-domain
letter word paragraph chapter 4.8 Common Definite Intra-domain
letter word word sentence 4.6 Common Definite Intra-domain
letter word Indefiniteex comic 2.6 Common Indefinite Intra-domain
letter word alphabet magazine 2.2 Common Indefinite Intra-domain
saw cut hammer pound 5 Common Indefinite Intra-domain
saw cut screwdriver screw 4.8 Common Definite Intra-domain
saw cut chisel carve 4.6 Common Definite Intra-domain
saw cut wrench rotate 4.6 Common Indefinite Intra-domain
saw cut level measure 4 Common Definite Intra-domain
saw cut jack raise 3 Common Definite Intra-domain
saw cut reamer pUncommonh 1.2 Common Definite Intra-domain
pencil write eraser erase 5 Common Definite Intra-domain
pencil write sharpner sharpen 4.6 Common Indefinite Intra-domain
pencil write scale measure 4 Common Definite Intra-domain
pencil write crayon color 4 Common Definite Intra-domain
pencil write spoon stir 3.6 Common Indefinite Intra-domain
pencil write brush paint 3 Common Definite Intra-domain
pencil write spatula flip 2.2 Common Definite Cross-domain
pencil write bowl wash 1 Common Indefinite Intra-domain
clock time thermometer temperature 5 Common Definite Intra-domain
clock time voltmeter voltage 5 Uncommon Definite Intra-domain
clock time ammeter current 4.67 Uncommon Definite Cross-domain
clock time scale weight 4.2 Common Definite Intra-domain
clock time calendar event 4.2 Common Definite Intra-domain
clock time televison news 3.8 Common Indefinite Cross-domain
clock time watch resistance 2.4 Common Indefinite Cross-domain
pilot fly sailor sail 5 Common Definite Intra-domain
pilot fly driver drive 4.6 Common Definite Intra-domain
pilot fly athlete jump 4.1 Common Definite Cross-domain
pilot fly cyclist cycle 4 Common Definite Intra-domain
pilot fly astronaut run 2 Common Indefinite Intra-domain
chimney smoke faucet water 5 Common Definite Intra-domain
chimney smoke stove fire 5 Common Indefinite Intra-domain
chimney smoke gun bullet 4.5 Common Definite Cross-domain
chimney smoke flute sound 4 Common Definite Intra-domain
chimney smoke lighter spark 3 Common Definite Cross-domain
chimney smoke pipe wIndefinite 2.2 Common Indefinite Cross-domain
chimney smoke phone storm 1 Common Definite Cross-domain
stomach digest lung breathe 5 Common Definite Intra-domain
stomach digest heart pump 4.8 Common Indefinite Intra-domain
stomach digest brain think 4.2 Common Definite Intra-domain
stomach digest kidney waste 4 Common Indefinite Intra-domain
stomach digest muscle move 3.8 Common Indefinite Intra-domain
stomach digest skin fat 1.8 Common Indefinite Intra-domain
summer plums spring mango 5 Common Definite Intra-domain
summer plums fall grapes 4.2 Common Indefinite Intra-domain
summer plums winter guava 3.8 Common Definite Intra-domain
summer plums rainy lychee 3 Common Indefinite Intra-domain
summer plums monsoon apples 2.6 Common Definite Intra-domain
summer cucumber spring asparagus 5 Common Definite Intra-domain
summer cucumber fall cauliflower 5 Common Indefinite Intra-domain
summer cucumber winter carrot 4.6 Common Indefinite Intra-domain
summer cucumber rainy pear 3.4 Common Definite Intra-domain
summer cucumber monsoon broccoli 1.4 Common Indefinite Intra-domain
wool sheep silk silkworm 5 Common Definite Intra-domain
wool sheep cotton plant 4.8 Common Indefinite Intra-domain
wool sheep fur fox 4.4 Common Indefinite Intra-domain
wool sheep polyester chemical 4.2 Common Definite Intra-domain
wool sheep leather alligator 4 Common Definite Intra-domain
wool sheep denim rat 1 Uncommon Indefinite Intra-domain
earthquake tsunami rain flood 5 Common Indefinite Intra-domain
earthquake tsunami storm hurricane 4 Common Definite Intra-domain
earthquake tsunami earthquake volcano 3.8 Common Indefinite Intra-domain
earthquake tsunami cloud storm 3 Common Indefinite Intra-domain
earthquake tsunami hill lightening 1.2 Common Indefinite Intra-domain
lick taste sniff smell 5 Common Definite Intra-domain
lick taste touch feel 4.6 Common Definite Intra-domain
lick taste strain see 3 Common Indefinite Intra-domain
lick taste walk hear 1.8 Common Indefinite Intra-domain
lick taste swallow run 1 Common Indefinite Cross-domain
selfish compassion hasty patience 5 Common Indefinite Intra-domain
selfish compassion miserly generosity 5 Common Definite Intra-domain
selfish compassion childish maturity 4.6 Common Indefinite Intra-domain
selfish compassion foolish sagacity 3.6 Common Indefinite Intra-domain
selfish compassion bookish frazzled 2.4 Common Indefinite Intra-domain
selfish compassion jumpy nerd 1 Common Indefinite Intra-domain
lemon sour candy sweet 5 Common Indefinite Intra-domain
lemon sour salsa spicy 4.8 Common Definite Intra-domain
lemon sour fries salty 4 Common Definite Intra-domain
lemon sour mocktail fruity 4 Common Indefinite Intra-domain
lemon sour berry bitter 2.8 Common Definite Intra-domain
lemon sour crisps icy 1.2 Common Indefinite Intra-domain
lemon sour banana chilli 1 Common Definite Intra-domain
cheerleader squad musician band 5 Common Definite Intra-domain
cheerleader squad computer network 4.6 Common Indefinite Cross-domain
cheerleader squad tree orchard 4 Common Definite Cross-domain
cheerleader squad vine vineyard 3.2 Common Indefinite Cross-domain
cheerleader squad athlete team 2 Common Definite Intra-domain
cheerleader squad minister house 1 Common Indefinite Cross-domain
cheerleader squad queen beach 1 Common Indefinite Cross-domain
water flow smoke billow 5 Common Definite Intra-domain
water flow ball boUncommone 4.8 Common Indefinite Cross-domain
water flow clock tick 4.6 Common Definite Cross-domain
water flow hail pelt 4.4 Common Indefinite Intra-domain
water flow fire rise 3.2 Common Definite Intra-domain
water flow door creak 3.1 Common Indefinite Cross-domain
water flow snow fall 3 Common Definite Intra-domain
water flow anchor sink 2 Common Definite Intra-domain
water flow rain sit 1.8 Common Indefinite Intra-domain
mountain range island archipelago 5 Uncommon Definite Intra-domain
mountain range tree grove 5 Uncommon Definite Intra-domain
mountain range squid shoal 4.4 Uncommon Definite Intra-domain
mountain range burrow warren 4 Uncommon Definite Intra-domain
mountain range whale pod 3.2 Uncommon Indefinite Cross-domain
mountain range file pile 2 Common Indefinite Cross-domain
mountain range stone handle 1 Common Indefinite Cross-domain
kilometer meter kilogram gram 5 Common Definite Intra-domain
kilometer meter gram milligram 5 Common Definite Intra-domain
kilometer meter feet inch 5 Common Definite Intra-domain
kilometer meter meter millimeter 4.6 Common Definite Intra-domain
kilometer meter liter milliliter 3 Common Definite Intra-domain
kilometer meter yard angle 1 Common Indefinite Intra-domain
cat meow sheep bleat 5 Common Definite Intra-domain
cat meow cow moo 5 Common Definite Intra-domain
cat meow snake hiss 4.8 Common Definite Intra-domain
cat meow pigs oink 4.8 Common Definite Intra-domain
cat meow elephant trumpet 4.8 Common Definite Intra-domain
cat meow tiger growl 4.4 Common Indefinite Intra-domain
cat meow crow caw 4.2 Common Definite Intra-domain
cat meow bark dog 4.2 Common Definite Intra-domain
cat meow roar lion 4 Common Definite Intra-domain
cat meow chicken cluck 3 Common Definite Intra-domain
cat meow eagle scream 2 Common Definite Intra-domain
cat meow snake oink 1.8 Common Definite Intra-domain
slay dragon row boat 5 Common Indefinite Cross-domain
slay dragon marinate food 4.2 Common Definite Cross-domain
slay dragon sweep floor 4 Common Indefinite Cross-domain
slay dragon charity donate 3 Common Indefinite Cross-domain
slay dragon polish blanket 2 Common Definite Cross-domain
slay dragon tie wIndefinite 1.8 Common Indefinite Cross-domain
slay dragon fasten book 1 Common Indefinite Cross-domain
hatchback cruze sedan impala 5 Uncommon Indefinite Intra-domain
hatchback cruze suv tahoe 5 Uncommon Indefinite Intra-domain
hatchback cruze coupe camara 4.8 Uncommon Indefinite Intra-domain
hatchback cruze economy captiva 3.4 Common Indefinite Intra-domain
hatchback cruze family limousine 1.8 Common Indefinite Intra-domain
library books wallet money 5 Common Definite Intra-domain
library books laboratory equipments 4.4 Common Definite Intra-domain
library books fort soldiers 4.4 Common Definite Cross-domain
library books hive bees 4 Common Definite Cross-domain
library books school pencils 3.4 Common Indefinite Intra-domain
library books bank clothes 1 Common Indefinite Cross-domain
floor building page book 5 Common Definite Cross-domain
floor building tree forest 5 Common Definite Cross-domain
floor building room house 4.2 Common Indefinite Intra-domain
floor building flower boquet 3.8 Common Indefinite Cross-domain
floor building bone body 3.6 Common Indefinite Cross-domain
floor building chair park 1 Common Indefinite Cross-domain
mountains cool poles icy 5 Common Indefinite Cross-domain
mountains cool beach warm 4.2 Common Indefinite Intra-domain
mountains cool night dark 4 Common Definite Cross-domain
mountains cool equator hot 4 Common Indefinite Intra-domain
mountains cool day light 3 Common Indefinite Cross-domain
mountains cool graveyard wIndefinitey 2.2 Common Indefinite Cross-domain
mountains cool noon chilly 1.4 Common Indefinite Cross-domain
gold malleable platinum ductile 5 Uncommon Definite Intra-domain
gold malleable manganese brittle 5 Uncommon Definite Intra-domain
gold malleable cobalt tough 4.6 Uncommon Definite Intra-domain
gold malleable silver shiny 2.6 Common Indefinite Intra-domain
gold malleable aluminium hard 2 Common Definite Intra-domain
bronze gear lead battery 5 Common Indefinite Intra-domain
bronze gear brass screw 4.4 Uncommon Indefinite Intra-domain
bronze gear steel needles 3.4 Uncommon Indefinite Intra-domain
bronze gear aluminium foil 2.9 Common Indefinite Intra-domain
bronze gear iron plastic 1 Common Indefinite Cross-domain
barite glass diatomite fillers 5 Uncommon Definite Intra-domain
barite glass feldspar ceramic 5 Uncommon Indefinite Intra-domain
barite glass gypsum cement 4.6 Uncommon Definite Intra-domain
